term_id,langs,country,term,type,code_lang,hl,gl,Collection_date,Result_number,Link,coding_completion_date,correctness_link,Site_type,Content_producer,recent_information,prop_recent_information,author_background,prop_author_background,major_scientific_errors,prop_major_scientific_errors,accuracy_scientific_content,prop_accuracy_scientific_content,high_scientific_lang,explanations_scientific_terms,Jargon_score,prop_Jargon_score,required_scientific_background,prop_required_scientific_background,sources_available,1_None,2_Others,3_Interaction_option,4_Graphs,5_multimedia,6_Hyper_links,7_Numerical_data,8_sources,9_references_literature,Quality_component_score,prop_Quality_component_score,Accessibility_component_score,prop_Accessibility_component_score,prop_Quality_mean,prop_Accessibility_mean,reject_or_reinforce_conspiracy_theory,prop_reject_or_reinforce_conspiracy_theory,malicious_meaning,prop_malicious_meaning,claims_contradict_accepted_scientific_explanations,prop_claims_contradict_accepted_scientific_explanations,specific_groups_presented_as_enemy,prop_specific_groups_presented_as_enemy,prop_Conspiratorial_mean,daily_reference,prop_daily_reference,local_examples,prop_local_examples,advantages_and_disadvantages_or_risks_and_benefits,prop_advantages_and_disadvantages_or_risks_and_benefits,prop_SSI_mean 
73-B,Hindi,"New Delhi,Delhi,India",भूमंडलीय उष्मीकरण एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,1,https://hi.wikipedia.org/wiki/%E0%A4%AD%E0%A5%82%E0%A4%AE%E0%A4%82%E0%A4%A1%E0%A4%B2%E0%A5%80%E0%A4%AF_%E0%A4%8A%E0%A4%B7%E0%A5%8D%E0%A4%AE%E0%A5%80%E0%A4%95%E0%A4%B0%E0%A4%A3,3.11.2022,1,5,10,4,1,2,0.666666667,2,1,,,1,1,1,0.333333333,,,"4,5,6,7,8,9",0,0,0,1,1,1,1,1,1,3,1,3,0.75,0.916666667,0.541666667,3,1,3,1,3,1,3,1,1,,,,,,,
73-B,Hindi,"New Delhi,Delhi,India",भूमंडलीय उष्मीकरण एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,2,https://hi.wikipedia.org/wiki/%E0%A4%AD%E0%A5%82%E0%A4%AE%E0%A4%82%E0%A4%A1%E0%A4%B2%E0%A5%80%E0%A4%AF_%E0%A4%8A%E0%A4%B7%E0%A5%8D%E0%A4%AE%E0%A5%80%E0%A4%95%E0%A4%B0%E0%A4%A3_%E0%A4%95%E0%A4%BE_%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AD%E0%A4%BE%E0%A4%B5,3.11.2022,1,5,10,4,1,2,0.666666667,2,1,,,1,1,1,0.333333333,,,"4,5,6,7,8,9",0,0,0,1,1,1,1,1,1,3,1,3,0.75,0.916666667,0.541666667,3,1,3,1,3,1,3,1,1,,,,,,,
73-B,Hindi,"New Delhi,Delhi,India",भूमंडलीय उष्मीकरण एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,4,https://metnet.imd.gov.in/imdrajbhasha/sangoshthi_2017(S)/8813112.pdf,3.11.2022,1,5,1,1,0.25,3,1,2,1,,,1,2,2,0.666666667,,,"4,5,7",0,0,0,1,1,0,1,1,0,1,0.333333333,2,0.5,0.645833333,0.583333333,3,1,3,1,3,1,3,1,1,,,,,,,
74-B,Hindi,"New Delhi,Delhi,India",जलवायु परिवर्तन एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,1,https://www.hastakshep.com/jungle-becoming-younger-and-younger-by-climate-change/,3.11.2022,1,1,11,4,1,2,0.666666667,2,1,,,2,,3,1,,,"7, 9",0,0,0,0,0,0,1,1,1,2,0.666666667,0,0,0.833333333,0.5,3,1,3,1,3,1,3,1,1,,,,,,,
74-B,Hindi,"New Delhi,Delhi,India",जलवायु परिवर्तन एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,2,https://hi.wikipedia.org/wiki/%E0%A4%9C%E0%A4%B2%E0%A4%B5%E0%A4%BE%E0%A4%AF%E0%A5%81_%E0%A4%AA%E0%A4%B0%E0%A4%BF%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%A4%E0%A4%A8,3.11.2022,1,5,10,4,1,2,0.666666667,2,1,,,1,1,1,0.333333333,,,"4,5,6,7,8,9",0,0,0,1,1,1,1,1,1,3,1,3,0.75,0.916666667,0.541666667,3,1,3,1,3,1,3,1,1,,,,,,,
74-B,Hindi,"New Delhi,Delhi,India",जलवायु परिवर्तन एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,3,https://www.hmoob.in/wiki/Climate_change_denial,3.11.2022,1,5,10,1,0.25,2,0.666666667,2,1,,,1,1,1,0.333333333,,,"4,5,6,7,8,9",0,0,0,1,1,1,1,1,1,3,1,3,0.75,0.729166667,0.541666667,3,1,3,1,3,1,3,1,1,,,,,,,
74-B,Hindi,"New Delhi,Delhi,India",जलवायु परिवर्तन एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,4,https://www.aajtak.in/trending/story/Want-a-film-on-climate-change-Abhishek-Bachchan-114514-2012-02-05,3.11.2022,1,1,11,2,0.5,2,0.666666667,2,1,,,2,,3,1,,,3,0,0,1,0,0,0,0,1,0,0,0,1,0.25,0.541666667,0.625,3,1,3,1,3,1,3,1,1,,,,,,,
74-B,Hindi,"New Delhi,Delhi,India",जलवायु परिवर्तन एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,5,https://www.livehindustan.com/national/story-the-world-is-trapped-in-five-illusions-denying-the-effect-of-climate-change-5135181.html,3.11.2022,1,1,11,4,1,2,0.666666667,2,1,,,2,,3,1,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.666666667,0.5,3,1,3,1,3,1,3,1,1,,,,,,,
74-B,Hindi,"New Delhi,Delhi,India",जलवायु परिवर्तन एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,6,https://www.timesnowhindi.com/world/article/climate-change-nasa-climate-scientist-breaks-down-in-tears-at-protest/400128,3.11.2022,1,5,11,4,1,2,0.666666667,2,1,,,2,,3,1,,,5,0,0,0,0,1,0,0,1,0,0,0,1,0.25,0.666666667,0.625,3,1,3,1,3,1,3,1,1,,,,,,,
74-B,Hindi,"New Delhi,Delhi,India",जलवायु परिवर्तन एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,7,https://www.bbc.com/hindi/science-58949614,3.11.2022,1,5,11,4,1,2,0.666666667,2,1,,,2,,3,1,,,"5,9",0,0,0,0,1,0,0,1,1,1,0.333333333,1,0.25,0.75,0.625,3,1,3,1,3,1,3,1,1,,,,,,,
